h_bar,mass,time,sig_0,sig_0_2,sig_t
1,1,4.756225634118031,9.38190841267409,88.02020546380486,9.385332005531259
1,1,0.6807817113097137,0.18821736112794205,0.03542577502996615,1.818266585388231
1,1,5.36828489925821,5.265139135477849,27.72169011594043,5.2897619248333525
1,1,1.4183818313099006,3.975479319984513,15.804435823624527,3.97947977489394
1,1,7.132205884238374,9.257078079818664,85.69349457585919,9.265090211379926
1,1,4.015582562466119,6.968336670243774,48.55771594986409,6.974291018708932
1,1,9.745273123105585,1.3001217566578087,1.6903165821349864,3.9669324963074315
1,1,0.5783617218539949,2.041524352833067,4.167821683210473,2.046432568668951
1,1,1.5583313447236935,8.321210530529457,69.24254469339434,8.321737343365566
1,1,1.3177245761147172,6.006093567660054,36.073159943487475,6.007095288729023
1,1,3.5162756257169505,7.02673453680205,49.37499825068672,7.031187792132016
1,1,1.9771066207300259,4.740612612443396,22.4734079412574,4.74519674178011
1,1,6.109648692282455,3.4594858833065962,11.96804257679762,3.5704035855269796
1,1,0.8674771198049891,5.829053335009413,33.97786278238436,5.829528248265569
1,1,3.851221368705616,4.424499464476142,19.576195511149667,4.4458529024617945
1,1,5.780959502141282,5.939931964102593,35.28279173816769,5.9598313007767425
1,1,3.6868918481287327,6.02788070837154,36.335345834357774,6.035633492064193
1,1,1.7656665908760094,5.321963790983497,28.32329859253943,5.324548467627998
1,1,6.1992678346580785,2.807376952390729,7.881365352814658,3.0166884593856325
1,1,7.329884349237764,2.6469437656841124,7.006311298693989,2.987207985533676
1,1,7.393594003648143,2.0363237619194265,4.146614463357685,2.7280743048251277
1,1,8.094155986640686,8.431149701748186,71.08428529328853,8.444803115280449
1,1,7.060160681451979,8.825878232783385,77.89612657991957,8.834936446916304
1,1,3.996236150521537,7.543158013484579,56.89923281639662,7.547807648415975
1,1,5.411369950464769,1.963252636549024,3.8543609149166937,2.3986867543183332
1,1,5.8987025478220625,7.315348915636938,53.514329757510524,7.326450589274018
1,1,8.645552376729226,1.4630027847453853,2.1403771481727523,3.2970893712703986
1,1,2.959125161782181,4.7956748845826835,22.998497598617135,4.805588654186299
1,1,8.352756085909304,7.9363865967949865,62.986232213787105,7.953813676069386
1,1,6.9436103914755956,9.12752541562528,83.31172021288545,9.135447384347913
1,1,7.894265684457199,6.133638953077086,37.62152680670457,6.16730472982445
1,1,7.974025212356299,4.6971671843439475,22.06337955767765,4.773244350998207
1,1,2.5883824605454464,7.207721798911713,51.9512535305071,7.209957972423916
1,1,1.6547404273478272,5.513090052069524,30.394161922227944,5.515132279370425
1,1,4.406056739670157,5.8931620894909535,34.729359413013384,5.905006918451079
1,1,2.298494587563231,3.9116350494619057,15.300888760178845,3.9226532525281677
1,1,6.140432527814811,8.525261249980453,72.68007938041828,8.532864359299186
1,1,6.205722250818826,5.349882990872834,28.621248016030457,5.381229656822092
1,1,1.1860796909914062,7.311128588691065,53.4526012403758,7.311578545803649
1,1,9.340080099965421,3.2928000129870876,10.842531925527764,3.5852458433000103
1,1,4.696387023813672,0.5150395690025162,0.2652657576382977,4.588247479699302
1,1,2.578214579746075,3.5552334667700456,12.639685003241757,3.5736759239144344
1,1,3.1475860633493857,4.735886378580536,22.428619790824662,4.747531065575111
1,1,4.22398774366962,6.930062663387962,48.02576851848385,6.936760491642428
1,1,6.908168472093168,6.125090272031401,37.516730840533704,6.150995114839181
1,1,2.015990174019342,4.729568812416088,22.368821151378924,4.734368377488907
1,1,4.862940439027479,2.6844387285968496,7.20621128759067,2.8331292303178257
1,1,6.5996163742807665,8.623687868722977,74.36799245715983,8.632172924566124
1,1,8.914690501973752,1.3478000301706607,1.816564921328034,3.571225402551426
1,1,0.4937119775487786,1.4234550877869436,2.0262243869465353,1.4339801193274069
1,1,3.168542059455647,2.6394193864680533,6.966534697663395,2.7068092579906273
1,1,2.3962774889692184,0.4807573403140646,0.23112762026585332,2.5381370612225904
1,1,5.549558244535474,6.627133890621013,43.918903604217604,6.640347360040945
1,1,9.580645790697723,3.7483363355565733,14.05002528445368,3.9602114271218167
1,1,0.5842747224487055,7.722458569127117,59.63636635188483,7.722551225403318
1,1,0.12827304976335108,4.024981900625241,16.20047930036078,4.025013442489389
1,1,6.90867296208208,6.273181616538152,39.352807594072225,6.2973029624419965
1,1,0.16419628994183255,1.9082926506765483,3.6415808406261267,1.9087775444266302
1,1,7.842471993406791,9.531504848763559,90.84958468200324,9.540379053027058
1,1,2.2442607750221697,8.084023274617358,65.35143230455516,8.08521490612488
1,1,2.752424867055309,7.772627421974661,60.41373704083247,7.774643842350977
1,1,2.7020205309870238,5.415710509104867,29.3299203184289,5.4214528741041255
1,1,6.679546823346662,8.323222797745649,69.2760377409129,8.33288947738573
1,1,5.737006371257586,6.293724963262211,39.61097391318992,6.3102061746933185
1,1,3.5767366756079353,6.838382634715975,46.763477058785,6.843381426558632
1,1,3.142630058352782,8.371652681723404,70.08456862340667,8.373756500660877
1,1,3.176454857529979,1.2817350713958817,1.642844793246206,1.782770496924105
1,1,9.705471939399512,2.682130587432855,7.193824488042913,3.2353258099945563
1,1,4.362107988808933,7.8926062635516185,62.29323363145424,7.897442510705824
1,1,6.370469871932047,6.367096861476101,40.53992244341882,6.3867196111768205
1,1,4.614531986236914,3.1137801999242884,9.695627133440542,3.200732205556836
1,1,5.786927116762017,5.2569830231811805,27.635870506015145,5.285718009450573
1,1,8.157043997458183,7.77508453853078,60.45193958130039,7.792759842733527
1,1,9.627055739529567,2.819041541266704,7.946995211387353,3.295841159967606
1,1,9.524422378419848,5.69257525278292,32.40541300859652,5.753716589099197
1,1,6.629040801146781,5.972158822725484,35.66668100385783,5.99789136671655
1,1,5.4094046583843705,2.9754152208910827,8.85309573671033,3.11117457276467
1,1,0.7280964758733799,3.970229226789789,15.762720113255845,3.9712879519225335
1,1,8.963180366190075,6.563663611018517,43.081679998608635,6.599081703819285
1,1,0.5355305380201902,4.056019395486464,16.451293336562383,4.056556612385626
1,1,9.819789154768358,6.2800065951541155,39.43848283517919,6.328486410063727
1,1,0.8505581225913272,6.961688498753982,48.46510675368347,6.9619565179408145
1,1,2.0589152124909327,1.6757849487838445,2.8082551945704726,1.7848351416359585
1,1,3.770102345226424,7.993638389693172,63.89825470517644,7.997116059445858
1,1,7.634211869258182,9.611887901379724,92.38838902868991,9.620088151927364
1,1,5.817278550047657,8.705325285802857,75.7826883316386,8.711734943942595
1,1,1.3043230750362778,9.32672131981622,86.98773057751443,9.326983432033659
1,1,2.914120380650668,3.297692104669814,10.874773217201628,3.327160639743414
1,1,0.031613665642560296,2.573993858253164,6.625444382325009,2.5740011837416072
1,1,0.3899445717511896,6.331869014954356,40.09256522253905,6.331943886610022
1,1,5.194853344198539,8.761467677487845,76.76331586366426,8.766481878621802
1,1,5.207329039592141,1.1059629686354913,1.2231540879930287,2.601045827407087
1,1,1.2320157982470914,2.3109068270671433,5.340290363385532,2.326230319229635
